title,directors,adaptors,starring,genre,country,release_date,runtime,rate
古剑奇谭2：永夜初晗,鼻涕妞,鼻涕妞,赵毅/山新/夏磊/朱雀橙/吴磊/赵岭/流月城沈胖子,爱情/动画/奇幻/冒险, 中国大陆,2014-01-01(中国大陆),121分钟,8.7
杰克 Jack,爱德华·贝尔格,爱德华·贝尔格/Nele Mueller-Stöfen,Ivo Pietzcker/Georg Arms/Jodine Johne/Johann Fohl/Luise Heyer/Johannes Langer/雅各布·马琛茨/Nele Mueller-Stöfen/Vincent Redetzki/Sebastian Stielke,剧情, 德国,2014-02-07(德国),103分钟,8.3
老虎和兔子：崛起 劇場版 TIGER & BUNNY -The Rising-,米谷良知,西田征史,平田广明/森田成一/中村悠一/寿美菜子,剧情/动画, 日本,2014-02-08(日本),,8.2
艾弗森 Iverson The Movie,Zatella Beatty,Stephen Perry,阿伦·艾弗森 Allen Iverson/卡梅隆·安东尼,传记, 美国,2014-04-27(美国),86分钟,8.6
中国推销员,檀冰,檀冰,李东学/迈克·泰森/史蒂文·席格/李艾/王自健/安妮克·阿斯克渥德/克罗维斯·弗昂/艾瑞克·艾伯纳尼,剧情/动作/爱情/战争, 中国大陆,2017-06-16(中国大陆),110分钟,4.1
六人晚餐,李远,梅峰/张巳阳,窦骁/张钧甯/邬君梅/吴刚/赵立新/俞灏明/尹馨梓/姜尘/崔文璐/陈欢/胡晴云/陈威旭/郝宣凯/李雨诺,剧情/爱情, 中国大陆,2017-06-16(中国大陆),100分钟,5.5
绣春刀II：修罗战场,路阳,陈舒/路阳/禹扬,张震/杨幂/张译/雷佳音/辛芷蕾/金士杰/刘端端/武强/杨轶/李媛/吴晓亮/李洪涛/刘峰超/袁文康/马赫/刘亭作/姜晓冲/陈齐威/王仁君/周一围,剧情/动作/武侠/古装, 中国大陆,2017-07-19(中国大陆)/2017-06-18(上海电影节),120分钟,7.5
逆时营救,尹鸿承,査慕春,杨幂/霍建华/金士杰/刘畅/张艺瀚 /王俐丹,动作/科幻, 中国大陆,2017-06-29(中国大陆)/2017-06-19(上海电影节),106分钟,4.8
绝世高手,卢正雨,卢正雨/赵英俊/冷旭阳/果小丹,卢正雨/郭采洁/范伟/蔡国庆/陈冲/仓田保昭/孔连顺/黄龄/杨迪/柯达/艾伦/赵英俊/魏翔/汪聪/何蓝逗,喜剧/动作, 中国大陆,2017-07-07(中国大陆)/2017-06-22(上海电影节),116分钟,6.2
缉枪,徐兵,徐兵,白举纲/连奕名/热依扎/洪剑涛/王泷正/童苡萱/戚云鹏/陈启杰/任东霖,剧情/动作/犯罪, 中国大陆,2017-06-23(中国大陆),104分钟,6.5
再见时光,薛贤坚,薛贤坚,杜维瀚/张家瑜/陈鹏万里/吴昱瑶/赵梦强/刘颺/余思潞,剧情/爱情/同性, 中国大陆,2017-06-30(中国大陆),90分钟,5.4
哀乐女子天团,桑木天/刘博文,郭昱德/桑木天/刘博文,杨小兰/刘頔/尹菲/叶禹含/陈洁怡/谭志玲/秦勇,剧情/音乐, 中国大陆,2017-06-30(中国大陆),86分钟,7.0
伪婚男女 偽婚男女,周美玲,周美玲/欧阳瑶,唐振刚/周厚安/李京恬/程茉/王琄,剧情/同性, 台湾,2017-07-01(台湾-Vidol频道),129分钟,6.4
京城81号2 京城81号Ⅱ,钱人豪,谭广源/蔡骏/黄慧惠,张智霖/梅婷/钟欣潼/耿乐/邬君梅/王水林/陈冲/高捷/林雪/连凯/万国鹏/披拉·尼迪裴善官,剧情/悬疑/惊悚, 中国大陆,2017-07-06(中国大陆),93分钟,3.9
青禾男高,蒋卓原,蒋卓原,景甜/欧豪/黑木美沙/林遣都/张宁江/尹昉/周游/丁冠森/夏恩/姜宗远/中岛广稀/刘德凯/荫山征彦/木幡龙/李方丁/大谷主水/清水泰地/蔡玮伦/潘怡安/木地雅茂,剧情, 中国大陆 / 台湾,2017-07-12(中国大陆),98分钟,4.0
悟空传,郭子健,郭子健/今何在/黄海/范文文/黄智亨,彭于晏/倪妮/余文乐/俞飞鸿/欧豪/郑爽/乔杉/杨迪/巴音/王德顺,剧情/动作/奇幻, 中国大陆,2017-07-13(中国大陆),123分钟,5.2
海滩的一天,杨德昌,杨德昌/吴念真,张艾嘉/胡因梦/徐明/毛学维/左鸣翔/颜凤娇/吴少刚/梅芳/林瑞阳/南俊/小戽斗/于守仁/孙明珠/李淑桢/罗文诚/黄玉华/李梦麟/珍妮弗·奥尼尔/侯孝贤/陈坤厚/柯一正/陶德辰/万仁/曾壮祥/小野/许淑贞/段钟沂/吴念真 Nien-Jen Wu/李烈,剧情/爱情, 台湾,1983/2017-07-14(台湾重映),166分钟,8.3
喵星人,陈木胜,陈木胜,古天乐/马丽/刘楚恬/黄星羱/阮兆祥/诗雅/蔡一智/蔡一杰,喜剧/奇幻, 香港,2017-07-14(中国大陆),109分钟,4.4
三生三世十里桃花,赵小丁/安东尼·拉默里纳拉,李晗/刘晗/麦灵/张亚亮/唐七,刘亦菲/杨洋/罗晋/严屹宽/李纯/顾璇/陈佩斯/彭子苏/张贺茗/王羽铮/塔拉,爱情/奇幻, 中国大陆,2017-08-03(中国大陆),109分钟,4.1
鲛珠传,杨磊,张炭/徐照青/杨磊,王大陆/张天爱/任达华/盛冠森/王迅/赵健/刘俊孝/释彦能/胡兵/何穗/蒋璐霞/杜奕衡/周一围,喜剧/动作/爱情/奇幻, 中国大陆 / 香港,2017-08-11(中国大陆),108分钟,4.8
星游记之风暴法米拉,胡一泊,刘磊,陶典/小连杀/山新/宝木中阳/边江/图特哈蒙/曹云图/笑谈/杨天翔/郭盛/阎萌萌/幽舞越山/C小调/皇贞季/藤新/邢凯新/叮当/姜广涛,动作/动画/奇幻/冒险, 中国大陆,2017-08-11(中国大陆),69分钟,7.6
赛尔号大电影6：圣者无敌,王章俊,王章俊/邓磊,罗玉婷/翟巍/王晓彤/孙晔,喜剧/动画/儿童/奇幻/冒险, 中国大陆,2017-08-18(中国大陆),90分钟,4.8
小戏骨：放开那三国,潘礼平/邹江/尹俊欢,邢育森/高翔,陶奕希/李俊豪/葛奕德/赵晨翔/陈荣达/罗自豪/陶冰蓝/周冉/黎哲彬/祁晟原/段智文/周柯伊/赵士添,剧情/儿童/历史/古装, 中国大陆,2017-08-28(中国大陆),104分钟,8.5
海角有个五店市,张柏瑞,李小莹/张柏瑞/贾小静,王德顺/李纯/班杰/胡小玲,剧情/爱情, 中国大陆,2017-04-07(中国大陆),107分钟,4.4
